,0
0,48.06984514387841
1,48.67788875109727
2,49.63685265613822
3,49.2278889974441
4,47.11366261110015
5,32.129988737280655
6,39.70392356478624
7,47.71106762701311
8,10.01476636593543
9,35.63960033834701
10,34.840494707044854
11,53.71172420927542
12,41.76100890290763
13,27.924539276948053
14,46.42459227746258
15,39.205079497407496
16,51.4708320171012
17,38.391330833837856
18,47.41090471332427
19,48.358606556475934
20,35.9763651534231
21,50.15018352474726
22,29.9520488565704
23,48.61861885350845
24,35.97290126966982
25,33.00755404645315
26,47.05630792984084
27,42.8732170641706
28,43.563645633003034
29,46.50482372327315
30,14.123223261047315
31,41.43509266084402
32,31.92048084306225
33,47.15727176245491
34,47.931001774932156
35,34.0194860990523
36,31.379140707653278
37,31.813022552732946
38,45.17589589378986
39,46.69065875964225
40,15.256095396227465
41,17.2420471428195
42,37.393757628618914
43,41.16622423032277
44,48.30460814551043
45,40.53553101326179
46,47.30512264450954
47,38.37131362011496
48,13.376239129262103
49,10.410529437082005
50,42.55960538731233
51,24.87462772996878
52,35.61133749843975
53,42.30825186509355
54,46.24063756102987
55,24.395215462496708
56,44.016824555965286
57,46.446806980897236
58,14.193510056540617
59,41.34572498414491
60,34.64954305961146
61,50.88110492495798
62,30.431585923113744
63,48.24611609967542
64,34.10317714276243
65,44.221429700375666
66,47.600116175657604
67,47.616521165442464
68,43.85222711215829
69,45.89301366821019
70,54.58803385525971
71,35.93258953294935
72,45.569965326918464
73,15.87018316432659
74,53.15820449117564
75,33.18752795595174
76,38.70847921347922
77,29.090935524813176
78,33.81267781108181
79,28.933790553235667
80,45.34814956642367
81,38.556814969617335
82,46.333103838425814
83,25.291507993026244
84,44.777027351061406
85,49.75182864745511
86,32.019305105848616
87,17.41503692216429
88,37.71328680744227
89,17.04306352099411
90,43.329742259045815
91,39.28092660930815
92,28.737895272170135
93,24.53199180491538
94,35.7614998615918
95,44.78172705258112
96,53.71558491518226
97,38.24227698395771
98,47.59324685340471
99,53.70220010040066
100,45.17224708602953
101,40.1735532635721
102,47.817722004267125
103,44.28215864369304
104,36.17212420589931
105,49.04149187232724
106,48.29622390144323
107,32.25715741981003
108,36.93967666741628
109,37.053162674519626
110,45.497528638430595
111,45.361416846139036
112,34.289375079097226
113,43.61008256378227
114,43.94736014803857
115,39.226849736882286
116,1.7407477292326803
117,13.780935877106458
118,34.245833458626294
119,47.85149830814407
120,42.41869990746818
121,43.95828469298431
122,41.03522889834312
123,44.500337054854754
124,47.411549543905494
125,48.124480663431314
126,35.85814924753504
127,49.262998111553316
128,37.68543009184941
129,43.890805173954504
130,45.116322109523026
131,36.55050531235793
132,40.97590854221562
133,48.09328444816856
134,37.25210908284498
135,31.444244438655005
136,44.43840804906722
137,45.65181735205806
138,38.899720461349716
